Sample,mE,mN,Lithology,Alteration,Temp,d18O,SiO2,Al2O3,Fe2O3t,MgO,CaO,Na2O,K2O
207395,729427,7644053,rhyolite,fse,100,9.5,69.78,11.13,6.28,2.23,0.81,0.07,6.23
207350,732171,7648403,rhyolite,fse,100,9.8,89.08,5.95,0.45,0,0.18,0,3.27
207449,724321,7639148,rhyolite,fse,100,9.9,71.22,10.63,3.52,0.97,2.06,0,7.36
207386,730438,7644714,rhyolite,fse,100,12,81,10,1,1,0,0,2.9
207352,732358,7647983,rhyolite,fse,100,13,78,11,1,0,1,0,6.78
207374,731007,7646016,rhyolite,fse,100,10.3,67.68,10,1.37,2.18,3.9,0.1,7.6
207376,731238,7645903,rhyolite,fse,100,14,81.34,9.15,2.39,1.26,0.4,0,2.39
203315,728975,7659365,dacite,se,135,9.8,71.36,15.52,2.59,1.05,0.3,0.06,4.52
203320,728305,7659555,dacite,se,135,9.8,74.45,11.28,1.23,1.61,2,0,3.7
207486,729558,7651544,equigranular granite,se,135,7.9,76.85,11.24,1.7,0.81,1.55,1.04,3.1
207488,729777,7651937,granophyre,se,135,8.3,78.06,11.95,2.45,0.61,0,0.07,4.11
207487,729671,7651718,granophyre,se,135,8.6,82.07,11.58,0.73,0.23,0,0.12,3.43
207479,729506,7652174,granophyre,se,135,9,80,11,1,1,0,0.09,4.31
203349,728038,7657441,microgranite,se,135,7.32,76.77,10.82,0.92,0.45,2.76,1.32,2.65
207454,727536,7657839,microgranite,trans-se,135,8.2,76.16,11.43,0.89,0.15,2.18,2.79,3.1
203379,725465,7647608,porphyritic granite,trans-se,135,6.7,76.66,11.7,0.98,0.34,1.34,1.31,4.9
207463,727490,7642085,rhyolite,se,135,10,79.75,9.57,0.63,1.16,1.24,0.02,3.04
207465,728075,7642870,rhyolite,se,135,10.4,84.2,8.86,0.37,0.41,0.19,0.09,2.78
207332,730788,7649073,dolerite,none,750,5.2,52.46,14.25,10.46,6.33,8.99,2.95,0.97
203372,722491,7648685,porphyritic granite,none,750,7.3,75.61,12.13,2.08,0.35,1.16,2.79,4.69
203362,722142,7655936,equigranular granite,none,750,8,75.41,11.36,2.95,0.33,1.33,2.76,4.16
203364,722575,7646399,equigranular granite,none,750,8.2,75.38,11.74,2.47,0.29,1.16,3.33,4.48
203370,724070,7652265,porphyritic granite,none,750,8.2,73.36,12.8,2.54,0.54,1.56,2.92,4.53
207490,728777,7651595,equigranular granite,greisen,750,6.8,77.72,11.6,4.01,0.96,0,0.11,3.04
207109,728714,7658781,hydrothermal vein,,750,8.91,90.28,2.76,3.8,1.78,0.01,0.01,0.04
