d18O,age_ma
0.274043145441893,0.361864996520527
0.179123173277662,0.810020876826721
0.096358153560659,1.9925771282765
-0.477893760148457,2.1818603572257
-0.649454882857805,4.10623985154256
-0.631268847135235,5.28137323126885
-0.278775226165623,6.57898399443284
-0.248341452099281,8.34145209928091
-0.406912549292507,9.67664115054511
-0.407840408257945,11.1472976107632
-0.162700069589422,12.5998608211552
-0.352632799814428,13.6432382277894
-0.807562050568314,14.7061006726977
-0.758478311296683,16.9083739271631
-0.569659011830202,17.6297842727905
-0.570679656692183,19.2475063790304
-0.451635351426583,20.562282533055
-0.521688703317096,21.5968452795175
-0.522430990489446,22.7733704476919
-0.301971700301554,23.345395499884
-0.492275574112735,24.9770354906054
-0.574762236140107,25.7183948039898
-0.165205288796103,26.5706332637439
-0.116028763627928,28.6258408721874
-0.356529807469265,29.8199953607052
-0.458130364184644,30.8568777545813
-0.017768499188124,32.8833217350963
-0.63637207144514,33.3699837624681
-0.921224773834377,34.8615170494085
-0.8336348874971,36.0315472048249
-0.613082811412665,36.4565066109951
-0.620691254929251,38.5158895847831
-0.823242867084203,39.5601948503827
-0.931616794247274,41.3328694038506
-0.983948039897935,44.2778937601485
-0.788726513569937,44.8517745302714
-0.789839944328462,46.6165622825331
-1.01159823706797,48.1034562746462
-1.01345395499884,51.0447691950823
-1.0288564138251,55.4576664347019
-1.03813500347947,60.1642310368824
-1.04101136627233,64.7232660635583
-1.04360937137555,68.8411041521688
-1.04360937137555,95
