x,z,d18O,temp
0.283490476491805,709.561475669177,11,70
0.474137821932545,601.898373726508,9.5,115
0.426830348667974,395.342656457635,8.2,154
0.98264886413972,320.30627096121,7.6,172
0.572296399417832,180.294880718851,6.1,217
1.39441878124407,526.431690185408,8.3,151
1.94935138897678,410.074036575334,7.5,175
2.50339808897045,252.39511485161,6.8,196
1.11996456369044,725.102828576852,10,100
1.70200594823768,873.175979244447,11.1,67
2.55637537176485,723.406948047839,9.2,124
3.23976460165791,598.633170916914,8.8,136
3.47204961083339,433.069670315763,7.9,163
3.53300006327912,275.972916534835,7.1,187
3.84926912611529,27.6656331076374,6,220
2.17171423147504,-218.28766689869,5.1,247
1.4408403467696,-308.333860659369,4.2,274
0.715104726950579,-158.716699360881,5.3,241
1.64300449281782,121.179522875404,6.2,214
4.34750363854964,266.746820224008,7.2,184
4.22205910270202,415.655255331266,8.6,142
3.77644750996646,631.057394165665,9.3,121
3.8012529266595,788.052901347845,10.4,88
4.87337847244194,795.051572486237,10.7,79
5.38330696703158,579.573498702778,9.7,109
4.99262165411631,356.894260583433,8.2,154
4.90296779092577,175.181927482124,7,190
5.35176865152186,108.536353856862,6.8,196
6.31669936088085,115.661583243688,5.7,229
6.7045497690312,206.112763399355,5.2,244
6.96677845978612,437.20812503955,5.5,235
6.49529836107068,446.029234955388,6.5,205
6.21783205720433,504.208061760425,7.6,172
6.0057457444789,611.896475352781,8.3,151
5.73270897930773,876.681642726065,10,100
6.11896475352781,892.754540277162,9,130
6.4189331139657,884.135923558818,8.2,154
6.71872429285579,867.253053217744,7,190
7.01692083781561,775.9919002721,6,220
7.314585838132,659.937986458267,5,250
7.38350946022907,874.732645700184,5,250
7.70473960640385,857.824463709422,4,280
7.70048724925647,659.482376763905,4,280
7.52295133835348,378.700246788585,4,280
7.77543504397899,155.261659178637,3.8,286
8.14184648484465,245.73815098399,3.2,304
8.38706574701006,683.465164842119,2,340
8.12784914256787,592.862114788331,3.7,289
9.09295703347466,608.251597797887,2.1,337
8.91294058090236,211.769917104347,2.5,325
9.45493893564513,492.121749034994,2,340
9.941656647472,194.026450673923,3.8,286
9.51075112320446,95.3616401948998,2.7,319
9.4205657153705,888.8565462254,4,280
9.48080744162501,698.702777953553,4,280
9.79636777826995,417.338480035437,4,280
10.4581408593305,284.325760931469,4,280
9.78343352528001,814.047965576156,5,250
9.73648041511106,624.020755552743,4.5,265
10.0555843827121,507.941530089224,5,250
10.7387964310574,374.903499335569,4.8,256
10.656407011327,532.025564766184,6,220
10.2708599632981,549.009681706005,5.5,235
10.0394608618617,755.894450420806,5.8,226
10.4041004872493,763.728405998861,6.4,208
11.6039739290008,729.253939125482,6.1,217
11.4283870151237,539.37859900019,5,250
12.29090678985,769.765234449156,5.7,229
8.04829462760235,882.212238182624,3.8,286
8.45404037208125,807.353034234006,3.6,292
9.05645763462634,905.815351515535,3.2,304
8.96751249762703,757.160032905145,3.5,295
2.82108460418908,70.2018604062523,6,220
